	state_client_id	block_1
0	NJ_0	63
4	NJ_1	
7	NJ_2	38
9	NJ_3	63
10	NJ_4	14
16	NJ_5	38
19	NJ_6	
20	NJ_7	44
28	NJ_8	
29	NJ_9	
30	NJ_10	14
33	NJ_11	44
38	NJ_12	
40	NJ_13	
47	NJ_14	
48	NJ_15	
51	NJ_16	44
52	NJ_17	
53	NJ_18	44
54	NJ_19	
55	NJ_20	44
57	NJ_21	12
64	NJ_22	44
65	NJ_23	
93	NJ_24	
99	NJ_25	
100	NJ_26	20
101	NJ_27	13
102	NJ_28	
103	NJ_29	
105	NJ_30	58
106	NJ_31	
107	NJ_32	13
115	NJ_33	76
122	NJ_34	76
125	NJ_35	
126	NJ_36	
127	NJ_37	
132	NJ_38	52
133	NJ_39	58
134	NJ_40	58
138	NJ_41	
139	NJ_42	
142	NJ_43	8
144	NJ_44	8
145	NJ_45	
147	NJ_46	
151	NJ_47	
175	NJ_48	
180	NJ_49	
181	NJ_50	
182	NJ_51	
185	NJ_52	8
193	NJ_53	8
194	NJ_54	8
195	NJ_55	58
213	NJ_56	102
223	NJ_57	20
227	NJ_58	74
231	NJ_59	76
232	NJ_60	12
233	NJ_61	
234	NJ_62	91
235	NJ_63	
236	NJ_64	
239	NJ_65	
273	NJ_66	
274	NJ_67	2
283	NJ_68	32
285	NJ_69	
287	NJ_70	102
288	NJ_71	74
289	NJ_72	14
292	NJ_73	
296	NJ_74	
297	NJ_75	
298	NJ_76	20
300	NJ_77	14
305	NJ_78	
306	NJ_79	
307	NJ_80	8
320	NJ_81	44
325	NJ_82	
329	NJ_83	76
335	NJ_84	
337	NJ_85	58
338	NJ_86	87
339	NJ_87	76
340	NJ_88	8
343	NJ_89	
344	NJ_90	8
346	NJ_91	
352	NJ_92	8
357	NJ_93	32
363	NJ_94	58
365	NJ_95	2
369	NJ_96	91
373	NJ_97	
374	NJ_98	45
377	NJ_99	
379	NJ_100	
385	NJ_101	
390	NJ_102	32
392	NJ_103	
397	NJ_104	
398	NJ_105	
399	NJ_106	
400	NJ_107	
403	NJ_108	
404	NJ_109	
405	NJ_110	
406	NJ_111	
429	NJ_112	8
445	NJ_113	
448	NJ_114	91
459	NJ_115	
463	NJ_116	2
472	NJ_117	
473	NJ_118	
474	NJ_119	76
476	NJ_120	91
479	NJ_121	32
481	NJ_122	91
482	NJ_123	76
483	NJ_124	13
493	NJ_125	
494	NJ_126	
501	NJ_127	
506	NJ_128	13
511	NJ_129	
522	NJ_130	32
532	NJ_131	20
539	NJ_132	
544	NJ_133	52
545	NJ_134	51
546	NJ_135	76
549	NJ_136	53
557	NJ_137	91
560	NJ_138	51
563	NJ_139	91
564	NJ_140	
571	NJ_141	
572	NJ_142	51
574	NJ_143	
581	NJ_144	
584	NJ_145	
586	NJ_146	
588	NJ_147	
589	NJ_148	
606	NJ_149	
611	NJ_150	91
614	NJ_151	91
624	NJ_152	
634	NJ_153	51
644	NJ_154	51
649	NJ_155	
652	NJ_156	
655	NJ_157	
667	NJ_158	14
673	NJ_159	38
685	NJ_160	
686	NJ_161	
695	NJ_162	
701	NJ_163	
702	NJ_164	
704	NJ_165	
708	NJ_166	38
711	NJ_167	38
721	NJ_168	
732	NJ_169	
741	NJ_170	38
751	NJ_171	38
766	NJ_172	14
785	NJ_173	52
805	NJ_174	
824	NJ_175	
826	NJ_176	
857	NJ_177	
859	NJ_178	38
864	NJ_179	
869	NJ_180	63
870	NJ_181	
873	NJ_182	38
880	NJ_183	
891	NJ_184	38
910	NJ_185	
934	NJ_186	
945	NJ_187	38
948	NJ_188	
955	NJ_189	
986	NJ_190	
1011	NJ_191	38
1017	NJ_192	
1030	NJ_193	
1033	NJ_194	
1068	NJ_195	12
1070	NJ_196	13
1071	NJ_197	13
1073	NJ_198	76
1075	NJ_199	
1079	NJ_200	
1084	NJ_201	44
1085	NJ_202	
1093	NJ_203	13
1096	NJ_204	76
1100	NJ_205	2
1101	NJ_206	
1102	NJ_207	2
1103	NJ_208	76
1106	NJ_209	76
1107	NJ_210	22
1109	NJ_211	22
1114	NJ_212	13
1115	NJ_213	76
1117	NJ_214	76
1122	NJ_215	
1129	NJ_216	45
1131	NJ_217	
1132	NJ_218	
1138	NJ_219	
1139	NJ_220	
1145	NJ_221	
1149	NJ_222	44
1152	NJ_223	13
1154	NJ_224	52
1155	NJ_225	
1161	NJ_226	22
1165	NJ_227	
1175	NJ_228	
1176	NJ_229	
1179	NJ_230	
1180	NJ_231	
1182	NJ_232	
1183	NJ_233	
1186	NJ_234	76
1193	NJ_235	
1196	NJ_236	76
1197	NJ_237	76
1213	NJ_238	2
1230	NJ_239	76
1234	NJ_240	
1236	NJ_241	91
1259	NJ_242	2
1267	NJ_243	52
1280	NJ_244	
1291	NJ_245	
1292	NJ_246	13
1298	NJ_247	13
1319	NJ_248	
1322	NJ_249	
1328	NJ_250	
1337	NJ_251	
1348	NJ_252	76
1349	NJ_253	
1362	NJ_254	
1364	NJ_255	
1372	NJ_256	
1373	NJ_257	2
1381	NJ_258	
1441	NJ_259	
1463	NJ_260	63
1473	NJ_261	63
1479	NJ_262	
1531	NJ_263	
1532	NJ_264	
1550	NJ_265	
1557	NJ_266	
1559	NJ_267	
1566	NJ_268	
1567	NJ_269	
1571	NJ_270	22
1573	NJ_271	
1574	NJ_272	76
1576	NJ_273	
1577	NJ_274	22
1579	NJ_275	22
1581	NJ_276	
1583	NJ_277	76
1589	NJ_278	
1591	NJ_279	44
1593	NJ_280	
1601	NJ_281	102
1607	NJ_282	44
1613	NJ_283	
1615	NJ_284	
1620	NJ_285	
1621	NJ_286	58
1634	NJ_287	20
1639	NJ_288	20
1640	NJ_289	
1641	NJ_290	
1672	NJ_291	20
1682	NJ_292	
1686	NJ_293	
1701	NJ_294	
1702	NJ_295	
1703	NJ_296	
1743	NJ_297	102
1781	NJ_298	63
1802	NJ_299	
1803	NJ_300	
1844	NJ_301	58
1852	NJ_302	
1853	NJ_303	
1857	NJ_304	
1864	NJ_305	
1865	NJ_306	
1881	NJ_307	
1887	NJ_308	
1888	NJ_309	
1890	NJ_310	
1891	NJ_311	
1892	NJ_312	
1893	NJ_313	
1895	NJ_314	
1915	NJ_315	
1917	NJ_316	
1923	NJ_317	
1929	NJ_318	
1937	NJ_319	
1938	NJ_320	
1945	NJ_321	76
1948	NJ_322	
1949	NJ_323	
1960	NJ_324	
1961	NJ_325	102
2008	NJ_326	
2022	NJ_327	63
2054	NJ_328	
2055	NJ_329	
2056	NJ_330	51
2063	NJ_331	
2068	NJ_332	
2072	NJ_333	20
2075	NJ_334	
2080	NJ_335	
2081	NJ_336	38
2082	NJ_337	38
2088	NJ_338	22
2095	NJ_339	
2099	NJ_340	
2111	NJ_341	
2117	NJ_342	
2118	NJ_343	
2123	NJ_344	
2130	NJ_345	
2133	NJ_346	
2137	NJ_347	63
2141	NJ_348	
2149	NJ_349	
2162	NJ_350	
2163	NJ_351	
2171	NJ_352	
2208	NJ_353	
2220	NJ_354	12
2221	NJ_355	12
2223	NJ_356	12
2225	NJ_357	32
2232	NJ_358	
2234	NJ_359	58
2236	NJ_360	
2238	NJ_361	14
2240	NJ_362	
2243	NJ_363	
2250	NJ_364	
2272	NJ_365	
2277	NJ_366	
2282	NJ_367	20
2285	NJ_368	
2287	NJ_369	14
2289	NJ_370	
2290	NJ_371	
2292	NJ_372	
2294	NJ_373	
2296	NJ_374	
2297	NJ_375	
2303	NJ_376	51
2308	NJ_377	
2309	NJ_378	
2310	NJ_379	
2311	NJ_380	
2312	NJ_381	
2313	NJ_382	
2314	NJ_383	
2320	NJ_384	
2327	NJ_385	12
2334	NJ_386	
2336	NJ_387	
2340	NJ_388	
2342	NJ_389	
2348	NJ_390	
2354	NJ_391	52
2355	NJ_392	14
2356	NJ_393	
2357	NJ_394	
2358	NJ_395	52
2373	NJ_396	32
2375	NJ_397	
2381	NJ_398	
2394	NJ_399	58
2399	NJ_400	
2400	NJ_401	
2409	NJ_402	
2419	NJ_403	
2422	NJ_404	
2433	NJ_405	14
2436	NJ_406	
2447	NJ_407	
2449	NJ_408	
2452	NJ_409	45
2453	NJ_410	
2454	NJ_411	
2455	NJ_412	58
2456	NJ_413	22
2458	NJ_414	
2460	NJ_415	
2463	NJ_416	
2465	NJ_417	
2466	NJ_418	20
2476	NJ_419	
2479	NJ_420	44
2481	NJ_421	44
2487	NJ_422	
2504	NJ_423	
2529	NJ_424	
2533	NJ_425	32
2534	NJ_426	
2539	NJ_427	8
2543	NJ_428	63
2544	NJ_429	
2545	NJ_430	63
2551	NJ_431	
2557	NJ_432	
2558	NJ_433	
2559	NJ_434	45
2560	NJ_435	22
2561	NJ_436	
2562	NJ_437	12
2564	NJ_438	44
2579	NJ_439	
2583	NJ_440	44
2591	NJ_441	
2595	NJ_442	
2596	NJ_443	
2601	NJ_444	
2629	NJ_445	
2630	NJ_446	
2642	NJ_447	
2645	NJ_448	
2668	NJ_449	
2670	NJ_450	
2693	NJ_451	
2703	NJ_452	
2704	NJ_453	91
2708	NJ_454	
2713	NJ_455	76
2720	NJ_456	
2750	NJ_457	58
2790	NJ_458	14
2796	NJ_459	
2825	NJ_460	44
2826	NJ_461	
2829	NJ_462	8
2830	NJ_463	
2831	NJ_464	52
2832	NJ_465	52
2834	NJ_466	76
2844	NJ_467	
2851	NJ_468	51
2854	NJ_469	58
2855	NJ_470	
2860	NJ_471	
2861	NJ_472	
2872	NJ_473	
2874	NJ_474	
2877	NJ_475	
2878	NJ_476	
2879	NJ_477	
2888	NJ_478	76
2889	NJ_479	76
2895	NJ_480	
2896	NJ_481	76
2898	NJ_482	13
2899	NJ_483	
2900	NJ_484	
2901	NJ_485	76
2903	NJ_486	
2906	NJ_487	76
2908	NJ_488	
2909	NJ_489	
2910	NJ_490	
2911	NJ_491	
2912	NJ_492	
2913	NJ_493	
2915	NJ_494	
2916	NJ_495	87
2917	NJ_496	76
2918	NJ_497	76
2921	NJ_498	87
2927	NJ_499	2
2930	NJ_500	13
2938	NJ_501	2
2941	NJ_502	
2953	NJ_503	
2960	NJ_504	76
2969	NJ_505	
2972	NJ_506	58
2974	NJ_507	58
2976	NJ_508	20
2991	NJ_509	22
3018	NJ_510	
3020	NJ_511	
3021	NJ_512	
3028	NJ_513	
3036	NJ_514	51
3041	NJ_515	
3044	NJ_516	
3053	NJ_517	
3066	NJ_518	
3068	NJ_519	
3077	NJ_520	
3079	NJ_521	
3087	NJ_522	
3088	NJ_523	
3095	NJ_524	
3098	NJ_525	
3099	NJ_526	58
3114	NJ_527	58
3117	NJ_528	
3122	NJ_529	58
3133	NJ_530	
3134	NJ_531	
3135	NJ_532	
3139	NJ_533	
3154	NJ_534	
3165	NJ_535	63
3166	NJ_536	
3167	NJ_537	
3176	NJ_538	
3183	NJ_539	
3196	NJ_540	
3203	NJ_541	58
3235	NJ_542	
3238	NJ_543	87
3240	NJ_544	13
3245	NJ_545	76
3246	NJ_546	
3257	NJ_547	
3258	NJ_548	
3273	NJ_549	102
3276	NJ_550	
3285	NJ_551	
3298	NJ_552	
3303	NJ_553	
3307	NJ_554	
3318	NJ_555	
3323	NJ_556	
3324	NJ_557	20
3325	NJ_558	
3348	NJ_559	
3389	NJ_560	
3469	NJ_561	22
3496	NJ_562	
3512	NJ_563	
3523	NJ_564	
3532	NJ_565	
3536	NJ_566	
3560	NJ_567	
3567	NJ_568	
3590	NJ_569	
3605	NJ_570	
3617	NJ_571	13
3638	NJ_572	
3639	NJ_573	
3640	NJ_574	
3641	NJ_575	
